User Input,Response,sentiment
i'm fine. how about yourself?,i'm pretty good. thanks for asking.,suicide
i'm pretty good. thanks for asking.,no problem. so how have you been?,positive
no problem. so how have you been?,i've been great. what about you?,negative
i've been great. what about you?,i've been good. i'm in school right now.,positive
i've been good. i'm in school right now.,what school do you go to?,positive
what school do you go to?,i go to pcc.,neutral
i go to pcc.,do you like it there?,neutral
do you like it there?,it's okay. it's a really big campus.,neutral
it's okay. it's a really big campus.,good luck with school.,positive
good luck with school.,thank you very much.,positive
how's it going?,i'm doing well. how about you?,neutral
i'm doing well. how about you?,"never better, thanks.",neutral
"never better, thanks.",so how have you been lately?,positive
so how have you been lately?,i've actually been pretty good. you?,negative
i've actually been pretty good. you?,i'm actually in school right now.,positive
i'm actually in school right now.,which school do you attend?,neutral
which school do you attend?,i'm attending pcc right now.,neutral
i'm attending pcc right now.,are you enjoying it there?,negative
are you enjoying it there?,it's not bad. there are a lot of people there.,positive
it's not bad. there are a lot of people there.,good luck with that.,negative
good luck with that.,thanks.,positive
how are you doing today?,i'm doing great. what about you?,neutral
i'm doing great. what about you?,"i'm absolutely lovely, thank you.",positive
"i'm absolutely lovely, thank you.",everything's been good with you?,positive
everything's been good with you?,i haven't been better. how about yourself?,positive
i haven't been better. how about yourself?,i started school recently.,suicide
i started school recently.,where are you going to school?,neutral
where are you going to school?,i'm going to pcc.,neutral
i'm going to pcc.,how do you like it so far?,neutral
how do you like it so far?,i like it so far. my classes are pretty good right now.,neutral
i like it so far. my classes are pretty good right now.,i wish you luck.,positive
it's an ugly day today.,i know. i think it may rain.,negative
i know. i think it may rain.,"it's the middle of summer, it shouldn't rain today.",neutral
"it's the middle of summer, it shouldn't rain today.",that would be weird.,neutral
that would be weird.,"yeah, especially since it's ninety degrees outside.",negative
"yeah, especially since it's ninety degrees outside.","i know, it would be horrible if it rained and it was hot outside.",neutral
"i know, it would be horrible if it rained and it was hot outside.","yes, it would be. ",negative
"yes, it would be. ",i really wish it wasn't so hot every day. ,neutral
i really wish it wasn't so hot every day. ,me too. i can't wait until winter.,positive
me too. i can't wait until winter.,"i like winter too, but sometimes it gets too cold.",neutral
"i like winter too, but sometimes it gets too cold.",i'd rather be cold than hot.,neutral
i'd rather be cold than hot.,me too.,negative
